title,detail,dueAt,isComplete
"Feed the fish","The fish is hungry so give him some food.","2026-05-14T04:00:00.000Z",true
"Wash my clothes","Need to wash all dirty clothes before Friday.","",false
"Buy groceries","Buy milk, eggs, bread, and vegetables.","",false
"Call mom","Call to catch up and discuss plans.","",false
"Review pull requests","Check and approve pending pull requests.","",false
"Update documentation","Update API documentation with new endpoints.","2026-07-07T04:00:00.000Z",false
"Fix bugs","Fix critical bugs reported by users.","",true
"Write tests","Write unit tests for new features.","",true
"Deploy application","Deploy latest version to production.","",false
"Backup database","Backup all important database records.","",true
"Schedule meeting","Schedule meeting with team leads.","2026-01-04T05:00:00.000Z",false
"Send email","Send follow-up email to clients.","",true
"Pay bills","Pay rent and utility bills.","",false
"Clean house","Deep clean the house.","",true
"Exercise","Go for a 30-minute jog or run.","",false
"Read book","Finish reading current book.","2026-09-23T04:00:00.000Z",true
"Learn new skill","Learn React or Vue.js fundamentals.","",false
"Organize files","Organize project files and folders.","",false
"Update resume","Update resume with recent projects.","",false
"Plan vacation","Book flights and hotel for vacation.","",false
"Water plants","Water indoor plants.","2026-12-07T05:00:00.000Z",false
"Walk the dog","Take dog for a walk in the park.","",true
"Prepare presentation","Create slides for presentation.","",true
"Code review","Review code for security issues.","",false
"Database migration","Migrate data to new database.","",true
"Feed the fish 1","","2026-02-09T05:00:00.000Z",false
"Wash my clothes 1","The fish is hungry so give him some food.","",false
"Buy groceries 1","Need to wash all dirty clothes before Friday.","",true
"Call mom 1","Buy milk, eggs, bread, and vegetables.","",false
"Review pull requests 1","Call to catch up and discuss plans.","",false
"Update documentation 1","Check and approve pending pull requests.","2026-04-05T04:00:00.000Z",true
"Fix bugs 1","Update API documentation with new endpoints.","",false
"Write tests 1","Fix critical bugs reported by users.","",true
"Deploy application 1","Write unit tests for new features.","",false
"Backup database 1","Deploy latest version to production.","",false
"Schedule meeting 1","Backup all important database records.","2026-10-01T04:00:00.000Z",false
"Send email 1","Schedule meeting with team leads.","",false
"Pay bills 1","Send follow-up email to clients.","",false
"Clean house 1","Pay rent and utility bills.","",false
"Exercise 1","Deep clean the house.","",true
"Read book 1","Go for a 30-minute jog or run.","2026-01-22T05:00:00.000Z",false
"Learn new skill 1","Finish reading current book.","",true
"Organize files 1","Learn React or Vue.js fundamentals.","",true
"Update resume 1","Organize project files and folders.","",true
"Plan vacation 1","Update resume with recent projects.","",false
"Water plants 1","Book flights and hotel for vacation.","2026-07-18T04:00:00.000Z",false
"Walk the dog 1","Water indoor plants.","",false
"Prepare presentation 1","Take dog for a walk in the park.","",false
"Code review 1","Create slides for presentation.","",false
"Database migration 1","Review code for security issues.","",false
"Feed the fish 2","Migrate data to new database.","2026-06-07T04:00:00.000Z",false
"Wash my clothes 2","","",false
"Buy groceries 2","The fish is hungry so give him some food.","",false
"Call mom 2","Need to wash all dirty clothes before Friday.","",false
"Review pull requests 2","Buy milk, eggs, bread, and vegetables.","",false
"Update documentation 2","Call to catch up and discuss plans.","2026-05-25T04:00:00.000Z",true
"Fix bugs 2","Check and approve pending pull requests.","",true
"Write tests 2","Update API documentation with new endpoints.","",false
"Deploy application 2","Fix critical bugs reported by users.","",false
"Backup database 2","Write unit tests for new features.","",false
"Schedule meeting 2","Deploy latest version to production.","2026-06-25T04:00:00.000Z",false
"Send email 2","Backup all important database records.","",true
"Pay bills 2","Schedule meeting with team leads.","",true
"Clean house 2","Send follow-up email to clients.","",false
"Exercise 2","Pay rent and utility bills.","",true
"Read book 2","Deep clean the house.","2026-12-23T05:00:00.000Z",false
"Learn new skill 2","Go for a 30-minute jog or run.","",true
"Organize files 2","Finish reading current book.","",false
"Update resume 2","Learn React or Vue.js fundamentals.","",false
"Plan vacation 2","Organize project files and folders.","",false
"Water plants 2","Update resume with recent projects.","2026-09-27T04:00:00.000Z",false
"Walk the dog 2","Book flights and hotel for vacation.","",false
"Prepare presentation 2","Water indoor plants.","",false
"Code review 2","Take dog for a walk in the park.","",false
"Database migration 2","Create slides for presentation.","",false
"Feed the fish 3","Review code for security issues.","2026-06-02T04:00:00.000Z",false
"Wash my clothes 3","Migrate data to new database.","",false
"Buy groceries 3","","",false
"Call mom 3","The fish is hungry so give him some food.","",false
"Review pull requests 3","Need to wash all dirty clothes before Friday.","",false
"Update documentation 3","Buy milk, eggs, bread, and vegetables.","2026-03-24T04:00:00.000Z",false
"Fix bugs 3","Call to catch up and discuss plans.","",true
"Write tests 3","Check and approve pending pull requests.","",false
"Deploy application 3","Update API documentation with new endpoints.","",false
"Backup database 3","Fix critical bugs reported by users.","",false
"Schedule meeting 3","Write unit tests for new features.","2026-06-03T04:00:00.000Z",true
"Send email 3","Deploy latest version to production.","",false
"Pay bills 3","Backup all important database records.","",true
"Clean house 3","Schedule meeting with team leads.","",false
"Exercise 3","Send follow-up email to clients.","",false
"Read book 3","Pay rent and utility bills.","2026-09-22T04:00:00.000Z",true
"Learn new skill 3","Deep clean the house.","",false
"Organize files 3","Go for a 30-minute jog or run.","",false
"Update resume 3","Finish reading current book.","",false
"Plan vacation 3","Learn React or Vue.js fundamentals.","",true
"Water plants 3","Organize project files and folders.","2026-10-02T04:00:00.000Z",false
"Walk the dog 3","Update resume with recent projects.","",false
"Prepare presentation 3","Book flights and hotel for vacation.","",true
"Code review 3","Water indoor plants.","",false
"Database migration 3","Take dog for a walk in the park.","",false
"Feed the fish 4","Create slides for presentation.","2026-03-02T05:00:00.000Z",false
"Wash my clothes 4","Review code for security issues.","",false
"Buy groceries 4","Migrate data to new database.","",false
"Call mom 4","","",true
"Review pull requests 4","The fish is hungry so give him some food.","",false
"Update documentation 4","Need to wash all dirty clothes before Friday.","2026-02-13T05:00:00.000Z",false
"Fix bugs 4","Buy milk, eggs, bread, and vegetables.","",true
"Write tests 4","Call to catch up and discuss plans.","",false
"Deploy application 4","Check and approve pending pull requests.","",false
"Backup database 4","Update API documentation with new endpoints.","",false
"Schedule meeting 4","Fix critical bugs reported by users.","2026-08-16T04:00:00.000Z",true
"Send email 4","Write unit tests for new features.","",false
"Pay bills 4","Deploy latest version to production.","",true
"Clean house 4","Backup all important database records.","",true
"Exercise 4","Schedule meeting with team leads.","",false
"Read book 4","Send follow-up email to clients.","2026-12-09T05:00:00.000Z",true
"Learn new skill 4","Pay rent and utility bills.","",false
"Organize files 4","Deep clean the house.","",true
"Update resume 4","Go for a 30-minute jog or run.","",false
"Plan vacation 4","Finish reading current book.","",false
"Water plants 4","Learn React or Vue.js fundamentals.","2026-06-24T04:00:00.000Z",false
"Walk the dog 4","Organize project files and folders.","",true
"Prepare presentation 4","Update resume with recent projects.","",false
"Code review 4","Book flights and hotel for vacation.","",true
"Database migration 4","Water indoor plants.","",true
"Feed the fish 5","Take dog for a walk in the park.","2026-10-16T04:00:00.000Z",false
"Wash my clothes 5","Create slides for presentation.","",false
"Buy groceries 5","Review code for security issues.","",true
"Call mom 5","Migrate data to new database.","",false
"Review pull requests 5","","",false
"Update documentation 5","The fish is hungry so give him some food.","2026-11-25T05:00:00.000Z",true
"Fix bugs 5","Need to wash all dirty clothes before Friday.","",false
"Write tests 5","Buy milk, eggs, bread, and vegetables.","",false
"Deploy application 5","Call to catch up and discuss plans.","",true
"Backup database 5","Check and approve pending pull requests.","",true
"Schedule meeting 5","Update API documentation with new endpoints.","2026-06-18T04:00:00.000Z",false
"Send email 5","Fix critical bugs reported by users.","",true
"Pay bills 5","Write unit tests for new features.","",false
"Clean house 5","Deploy latest version to production.","",false
"Exercise 5","Backup all important database records.","",true
"Read book 5","Schedule meeting with team leads.","2026-02-18T05:00:00.000Z",false
"Learn new skill 5","Send follow-up email to clients.","",false
"Organize files 5","Pay rent and utility bills.","",true
"Update resume 5","Deep clean the house.","",false
"Plan vacation 5","Go for a 30-minute jog or run.","",false
"Water plants 5","Finish reading current book.","2026-08-05T04:00:00.000Z",false
"Walk the dog 5","Learn React or Vue.js fundamentals.","",false
"Prepare presentation 5","Organize project files and folders.","",false
"Code review 5","Update resume with recent projects.","",false
"Database migration 5","Book flights and hotel for vacation.","",true
"Feed the fish 6","Water indoor plants.","2026-05-26T04:00:00.000Z",false
"Wash my clothes 6","Take dog for a walk in the park.","",false
"Buy groceries 6","Create slides for presentation.","",false
"Call mom 6","Review code for security issues.","",false
"Review pull requests 6","Migrate data to new database.","",true
"Update documentation 6","","2026-07-18T04:00:00.000Z",true
"Fix bugs 6","The fish is hungry so give him some food.","",false
"Write tests 6","Need to wash all dirty clothes before Friday.","",true
"Deploy application 6","Buy milk, eggs, bread, and vegetables.","",false
"Backup database 6","Call to catch up and discuss plans.","",false
"Schedule meeting 6","Check and approve pending pull requests.","2026-01-23T05:00:00.000Z",false
"Send email 6","Update API documentation with new endpoints.","",true
"Pay bills 6","Fix critical bugs reported by users.","",false
"Clean house 6","Write unit tests for new features.","",true
"Exercise 6","Deploy latest version to production.","",true
"Read book 6","Backup all important database records.","2026-12-03T05:00:00.000Z",false
"Learn new skill 6","Schedule meeting with team leads.","",false
"Organize files 6","Send follow-up email to clients.","",false
"Update resume 6","Pay rent and utility bills.","",false
"Plan vacation 6","Deep clean the house.","",false
"Water plants 6","Go for a 30-minute jog or run.","2026-12-27T05:00:00.000Z",true
"Walk the dog 6","Finish reading current book.","",false
"Prepare presentation 6","Learn React or Vue.js fundamentals.","",false
"Code review 6","Organize project files and folders.","",false
"Database migration 6","Update resume with recent projects.","",false
"Feed the fish 7","Book flights and hotel for vacation.","2026-04-06T04:00:00.000Z",false
"Wash my clothes 7","Water indoor plants.","",true
"Buy groceries 7","Take dog for a walk in the park.","",false
"Call mom 7","Create slides for presentation.","",false
"Review pull requests 7","Review code for security issues.","",false
"Update documentation 7","Migrate data to new database.","2026-11-04T05:00:00.000Z",false
"Fix bugs 7","","",true
"Write tests 7","The fish is hungry so give him some food.","",false
"Deploy application 7","Need to wash all dirty clothes before Friday.","",false
"Backup database 7","Buy milk, eggs, bread, and vegetables.","",true
"Schedule meeting 7","Call to catch up and discuss plans.","2026-01-31T05:00:00.000Z",false
"Send email 7","Check and approve pending pull requests.","",false
"Pay bills 7","Update API documentation with new endpoints.","",false
"Clean house 7","Fix critical bugs reported by users.","",false
"Exercise 7","Write unit tests for new features.","",false
"Read book 7","Deploy latest version to production.","2026-04-18T04:00:00.000Z",false
"Learn new skill 7","Backup all important database records.","",false
"Organize files 7","Schedule meeting with team leads.","",false
"Update resume 7","Send follow-up email to clients.","",false
"Plan vacation 7","Pay rent and utility bills.","",false
"Water plants 7","Deep clean the house.","2026-01-17T05:00:00.000Z",false
"Walk the dog 7","Go for a 30-minute jog or run.","",false
"Prepare presentation 7","Finish reading current book.","",false
"Code review 7","Learn React or Vue.js fundamentals.","",false
"Database migration 7","Organize project files and folders.","",false
"Feed the fish 8","Update resume with recent projects.","2026-05-28T04:00:00.000Z",true
"Wash my clothes 8","Book flights and hotel for vacation.","",false
"Buy groceries 8","Water indoor plants.","",true
"Call mom 8","Take dog for a walk in the park.","",false
"Review pull requests 8","Create slides for presentation.","",false
"Update documentation 8","Review code for security issues.","2026-12-05T05:00:00.000Z",false
"Fix bugs 8","Migrate data to new database.","",false
"Write tests 8","","",true
"Deploy application 8","The fish is hungry so give him some food.","",false
"Backup database 8","Need to wash all dirty clothes before Friday.","",true
"Schedule meeting 8","Buy milk, eggs, bread, and vegetables.","2026-08-18T04:00:00.000Z",true
"Send email 8","Call to catch up and discuss plans.","",false
"Pay bills 8","Check and approve pending pull requests.","",false
"Clean house 8","Update API documentation with new endpoints.","",false
"Exercise 8","Fix critical bugs reported by users.","",true
"Read book 8","Write unit tests for new features.","2026-01-17T05:00:00.000Z",false
"Learn new skill 8","Deploy latest version to production.","",true
"Organize files 8","Backup all important database records.","",false
"Update resume 8","Schedule meeting with team leads.","",false
"Plan vacation 8","Send follow-up email to clients.","",false
"Water plants 8","Pay rent and utility bills.","2026-11-27T05:00:00.000Z",false
"Walk the dog 8","Deep clean the house.","",false
"Prepare presentation 8","Go for a 30-minute jog or run.","",false
"Code review 8","Finish reading current book.","",false
"Database migration 8","Learn React or Vue.js fundamentals.","",true
"Feed the fish 9","Organize project files and folders.","2026-01-15T05:00:00.000Z",false
"Wash my clothes 9","Update resume with recent projects.","",false
"Buy groceries 9","Book flights and hotel for vacation.","",false
"Call mom 9","Water indoor plants.","",false
"Review pull requests 9","Take dog for a walk in the park.","",false
"Update documentation 9","Create slides for presentation.","2026-03-14T04:00:00.000Z",true
"Fix bugs 9","Review code for security issues.","",true
"Write tests 9","Migrate data to new database.","",false
"Deploy application 9","","",true
"Backup database 9","The fish is hungry so give him some food.","",true
"Schedule meeting 9","Need to wash all dirty clothes before Friday.","2026-12-23T05:00:00.000Z",false
"Send email 9","Buy milk, eggs, bread, and vegetables.","",true
"Pay bills 9","Call to catch up and discuss plans.","",false
"Clean house 9","Check and approve pending pull requests.","",true
"Exercise 9","Update API documentation with new endpoints.","",false
"Read book 9","Fix critical bugs reported by users.","2026-09-02T04:00:00.000Z",false
"Learn new skill 9","Write unit tests for new features.","",false
"Organize files 9","Deploy latest version to production.","",true
"Update resume 9","Backup all important database records.","",false
"Plan vacation 9","Schedule meeting with team leads.","",false
"Water plants 9","Send follow-up email to clients.","2026-04-03T04:00:00.000Z",false
"Walk the dog 9","Pay rent and utility bills.","",false
"Prepare presentation 9","Deep clean the house.","",false
"Code review 9","Go for a 30-minute jog or run.","",false
"Database migration 9","Finish reading current book.","",false
"Feed the fish 10","Learn React or Vue.js fundamentals.","2026-06-01T04:00:00.000Z",false
"Wash my clothes 10","Organize project files and folders.","",true
"Buy groceries 10","Update resume with recent projects.","",false
"Call mom 10","Book flights and hotel for vacation.","",false
"Review pull requests 10","Water indoor plants.","",false
"Update documentation 10","Take dog for a walk in the park.","2026-12-12T05:00:00.000Z",false
"Fix bugs 10","Create slides for presentation.","",false
"Write tests 10","Review code for security issues.","",false
"Deploy application 10","Migrate data to new database.","",true
"Backup database 10","","",false
"Schedule meeting 10","The fish is hungry so give him some food.","2026-04-13T04:00:00.000Z",false
"Send email 10","Need to wash all dirty clothes before Friday.","",false
"Pay bills 10","Buy milk, eggs, bread, and vegetables.","",false
"Clean house 10","Call to catch up and discuss plans.","",true
"Exercise 10","Check and approve pending pull requests.","",false
"Read book 10","Update API documentation with new endpoints.","2026-07-13T04:00:00.000Z",false
"Learn new skill 10","Fix critical bugs reported by users.","",false
"Organize files 10","Write unit tests for new features.","",false
"Update resume 10","Deploy latest version to production.","",false
"Plan vacation 10","Backup all important database records.","",true
"Water plants 10","Schedule meeting with team leads.","2026-12-04T05:00:00.000Z",true
"Walk the dog 10","Send follow-up email to clients.","",false
"Prepare presentation 10","Pay rent and utility bills.","",true
"Code review 10","Deep clean the house.","",false
"Database migration 10","Go for a 30-minute jog or run.","",false
"Feed the fish 11","Finish reading current book.","2026-04-12T04:00:00.000Z",false
"Wash my clothes 11","Learn React or Vue.js fundamentals.","",true
"Buy groceries 11","Organize project files and folders.","",false
"Call mom 11","Update resume with recent projects.","",false
"Review pull requests 11","Book flights and hotel for vacation.","",false
"Update documentation 11","Water indoor plants.","2026-02-16T05:00:00.000Z",true
"Fix bugs 11","Take dog for a walk in the park.","",false
"Write tests 11","Create slides for presentation.","",false
"Deploy application 11","Review code for security issues.","",true
"Backup database 11","Migrate data to new database.","",false
"Schedule meeting 11","","2026-12-28T05:00:00.000Z",false
"Send email 11","The fish is hungry so give him some food.","",false
"Pay bills 11","Need to wash all dirty clothes before Friday.","",false
"Clean house 11","Buy milk, eggs, bread, and vegetables.","",false
"Exercise 11","Call to catch up and discuss plans.","",false
"Read book 11","Check and approve pending pull requests.","2026-06-21T04:00:00.000Z",true
"Learn new skill 11","Update API documentation with new endpoints.","",true
"Organize files 11","Fix critical bugs reported by users.","",true
"Update resume 11","Write unit tests for new features.","",false
"Plan vacation 11","Deploy latest version to production.","",false
"Water plants 11","Backup all important database records.","2026-11-08T05:00:00.000Z",false
"Walk the dog 11","Schedule meeting with team leads.","",false
"Prepare presentation 11","Send follow-up email to clients.","",true
"Code review 11","Pay rent and utility bills.","",false
"Database migration 11","Deep clean the house.","",false
"Feed the fish 12","Go for a 30-minute jog or run.","2026-10-14T04:00:00.000Z",false
"Wash my clothes 12","Finish reading current book.","",false
"Buy groceries 12","Learn React or Vue.js fundamentals.","",false
"Call mom 12","Organize project files and folders.","",true
"Review pull requests 12","Update resume with recent projects.","",false
"Update documentation 12","Book flights and hotel for vacation.","2026-12-08T05:00:00.000Z",true
"Fix bugs 12","Water indoor plants.","",true
"Write tests 12","Take dog for a walk in the park.","",false
"Deploy application 12","Create slides for presentation.","",false
"Backup database 12","Review code for security issues.","",false
"Schedule meeting 12","Migrate data to new database.","2026-08-24T04:00:00.000Z",false
"Send email 12","","",true
"Pay bills 12","The fish is hungry so give him some food.","",false
"Clean house 12","Need to wash all dirty clothes before Friday.","",false
"Exercise 12","Buy milk, eggs, bread, and vegetables.","",true
"Read book 12","Call to catch up and discuss plans.","2026-03-17T04:00:00.000Z",false
"Learn new skill 12","Check and approve pending pull requests.","",false
"Organize files 12","Update API documentation with new endpoints.","",false
"Update resume 12","Fix critical bugs reported by users.","",false
"Plan vacation 12","Write unit tests for new features.","",false
"Water plants 12","Deploy latest version to production.","2026-03-17T04:00:00.000Z",false
"Walk the dog 12","Backup all important database records.","",false
"Prepare presentation 12","Schedule meeting with team leads.","",false
"Code review 12","Send follow-up email to clients.","",true
"Database migration 12","Pay rent and utility bills.","",false
"Feed the fish 13","Deep clean the house.","2026-05-30T04:00:00.000Z",true
"Wash my clothes 13","Go for a 30-minute jog or run.","",false
"Buy groceries 13","Finish reading current book.","",false
"Call mom 13","Learn React or Vue.js fundamentals.","",false
"Review pull requests 13","Organize project files and folders.","",true
"Update documentation 13","Update resume with recent projects.","2026-06-27T04:00:00.000Z",false
"Fix bugs 13","Book flights and hotel for vacation.","",false
"Write tests 13","Water indoor plants.","",false
"Deploy application 13","Take dog for a walk in the park.","",false
"Backup database 13","Create slides for presentation.","",true
